id,product_id,warehouse_id,quantity,updated_at
1,42,1,1,
2,1116,1,10,
3,1359,1,14,
4,1369,1,6,
5,1370,1,5,
6,1421,1,13,
7,1478,1,1,
8,2565,1,2,
9,2589,1,1,
10,2592,1,1,
11,2593,1,1,
12,2595,1,1,
13,2605,1,1,
14,2643,1,1,
15,2664,1,1,
16,2682,1,3,
17,2790,1,93,
18,2813,1,1,
19,2814,1,3,
20,2829,1,7,
21,3010,1,5,
22,3013,1,1,
23,3016,1,2,
24,3017,1,1,
25,3020,1,38,
26,3021,1,3,
27,3023,1,5,
28,3026,1,3,
29,3027,1,1,
30,3028,1,2,
31,3029,1,17,
32,3064,1,1,
33,3065,1,4,
34,3090,1,1,
35,3444,1,5,
36,3453,1,39,
37,3500,1,17,
38,3515,1,86,
39,3907,1,5,
40,4128,1,2,
41,4162,1,3,
42,4177,1,1,
43,4222,1,5,
44,5571,1,3,
45,5842,1,2,
46,6176,1,97428,
47,6250,1,19,
48,6912,1,2,
49,7606,1,3,
50,7953,1,2,
51,8184,1,9,
52,8232,1,4,
53,9498,1,7,
54,9559,1,6,
55,10526,1,4,
56,10562,1,3,
57,10597,1,9,
58,10609,1,13,
59,10736,1,4,
60,10779,1,55,
61,10855,1,4,
62,10856,1,11,
63,10857,1,6,
64,10861,1,8,
65,10894,1,3,
66,10906,1,2,
67,10927,1,1,
68,11060,1,2,
69,11063,1,4,
70,11126,1,1,
71,11149,1,18,
72,11346,1,2,
73,11365,1,2,
74,11422,1,1,
75,11430,1,2,
76,11431,1,2,
77,11455,1,14,
78,11482,1,1,
79,11504,1,2,
80,11672,1,2,
81,11676,1,7,
82,11683,1,1,
83,11753,1,64,
84,11754,1,180,
85,11755,1,389,
86,11756,1,529,
87,11757,1,133,
88,11758,1,111,
89,11759,1,69,
90,11760,1,63,
91,11761,1,8,
92,11762,1,7,
93,11766,1,7,
94,11768,1,1,
95,11769,1,248,
96,11770,1,161,
97,11778,1,3,
98,11809,1,5,
99,11854,1,2,
100,11920,1,1,
101,12052,1,2,
102,12086,1,1,
103,12087,1,4,
104,12090,1,9,
105,12091,1,2,
106,12092,1,6,
107,12095,1,3,
108,12096,1,2,
109,12097,1,1,
110,12098,1,4,
111,12099,1,3,
112,12100,1,3,
113,12106,1,2,
114,12109,1,2,
115,12110,1,2,
116,12111,1,2,
117,12113,1,2,
118,12116,1,1,
119,12117,1,1,
120,12119,1,1,
121,12120,1,3,
122,12121,1,3,
123,12122,1,4,
124,12123,1,2,
125,12124,1,4,
126,12125,1,1,
127,12126,1,1,
128,12127,1,1,
129,12128,1,1,
130,12130,1,2,
131,12131,1,2,
132,12132,1,2,
133,12133,1,2,
134,12134,1,2,
135,12135,1,1,
136,12136,1,1,
137,12137,1,2,
138,12138,1,1,
139,12140,1,1,
140,12141,1,2,
141,12142,1,2,
142,12143,1,1,
143,12144,1,2,
144,12145,1,2,
145,12147,1,2,
146,12148,1,2,
147,12149,1,2,
148,12150,1,2,
149,12243,1,3,
150,12361,1,2,
151,12368,1,11,
152,12378,1,1,
153,12380,1,3,
154,12441,1,19,
155,12442,1,37,
156,12445,1,1,
157,12455,1,14,
158,12457,1,1,
159,12465,1,1,
160,12466,1,1,
161,12467,1,1,
162,12468,1,2,
163,12471,1,1,
164,12476,1,18,
165,12478,1,2,
166,12480,1,3,
167,12481,1,1,
168,12483,1,1,
169,12484,1,3,
170,12485,1,5,
171,12486,1,2,
172,12487,1,4,
173,12488,1,7,
174,12493,1,1,
175,12494,1,1,
176,12497,1,1,
177,12502,1,1,
178,12503,1,11,
179,12504,1,2,
180,12507,1,6,
181,12508,1,2,
182,12511,1,1,
183,12513,1,2,
184,12514,1,3,
185,12515,1,1,
186,12516,1,3,
187,12517,1,3,
188,12518,1,2,
189,12519,1,2,
190,12520,1,2,
191,12522,1,2,
192,12523,1,2,
193,12524,1,2,
194,12528,1,2,
195,12529,1,2,
196,15115,1,6,
197,15331,1,4,
198,15332,1,5,
199,15906,1,16,
200,17012,1,41,
201,17013,1,19,
202,17014,1,9,
203,17015,1,103,
204,17016,1,82,
205,17018,1,70,
206,17024,1,41,
207,19001,1,75,
208,16,1,99,2026-03-07 15:03:48.823018+00
